times B04GusCalc B06GusCalc C01GusCalc C02GusCalc C03GusCalc C04GusCalc C05GusCalc C06GusCalc C07GusCalc C08GusCalc C09GusCalc C10GusCalc C11GusCalc C12GusCalc E01GusCalc E02GusCalc E03GusCalc E04GusCalc E05GusCalc E06GusCalc E07GusCalc E08GusCalc E09GusCalc E10GusCalc E11GusCalc E12GusCalc G01GusCalc G02GusCalc G03GusCalc G04GusCalc G05GusCalc G06GusCalc G07GusCalc G08GusCalc G09GusCalc G10GusCalc G11GusCalc G12GusCalc
0 1.346068974213476 3.484092062954812 2.322728041969873 6.276527331189707 10.716339089883093 11.61364020984938 13.83381955239453 14.80675871634827 15.58740231255723 15.191349851837838 14.90417160264004 12.581443560670158 9.936968974255228 5.922453752035742 7.014331040650748 11.495709205510952 18.84496563898871 21.678795058385507 23.07546812937393 22.840159079370448 23.144694533762053 22.259477068877978 19.806443477712623 17.807581655102386 10.645836859028602 8.129548146894566 5.2261380944322156 13.845280877624356 22.601733353207976 25.937129801996942 29.42122186495177 30.19040413593089 29.998108568186108 29.61351743269654 27.292054493146047 22.840159079370448 14.32348959214757 8.129548146894564
50 1.363897702348753 3.3123229914184082 3.117480462511437 11.05764043246509 19.484252890696528 21.822363237580117 24.550158642277623 26.53678834878004 26.303741402440323 25.959901645545674 23.65235483260828 20.45846553523136 13.444134494580604 7.5488661364020935 7.845659163987133 16.672025723472665 27.292054493146047 31.369647154021415 33.87311727872735 34.876812674346795 34.32475884244371 33.707757500905004 30.19040413593089 25.743569131832796 15.197717254743294 8.710230157387032 6.864951768488741 18.899725303975632 31.59325837847169 36.82523796341646 39.81672025723474 41.69630118609059 41.61554408529362 41.03486207480114 36.970088001353865 30.96970722626501 18.001142325266546 8.903790827551184
100 1.7420460314774093 3.6776527331189737 4.676220693767174 17.37629210815943 28.447009220416938 32.73354485637019 36.240710376695546 38.905694702995426 38.63987138263664 38.13145202233881 34.45379928921983 28.636655948553045 16.452656963953288 7.884118277536099 8.630225080385852 22.163987138263664 37.02008049232342 41.61554408529363 46.37252187985776 46.95704946657864 46.797513973111194 45.593151764229894 40.260619394144534 34.12861736334405 18.704882775068672 9.29091216787951 7.649517684887469 24.160473584463706 40.6763201622823 47.66237942122186 51.73396059474741 53.22918429514302 54.36106556504333 52.112098858836134 46.648121509561676 39.09925537315958 21.82236323758012 9.678033508207815
151 2.1291673718057216 3.845911354895661 5.613259434760541 23.733118971061092 38.38397819467218 43.5511507869352 48.51578969783437 50.57373431687787 50.712895583008965 49.80455204589874 45.766345123258304 37.21492302123039 21.09811304789305 9.80707395498393 9.936968974255235 28.440514469453383 46.26100016923337 54.00342697579963 58.265557026669185 58.84244372990354 59.4308681672026 56.727192484710926 51.342916587857005 42.196226095786095 22.45303773904215 10.507579237482775 9.09735149771535 30.77614655610087 50.2122186495177 59.23212878771747 63.94212218649519 66.39130986630562 66.53426643969486 64.61131076224703 59.03600440006772 48.26618750394047 25.74356913183281 10.76855179370784
201 1.7420460314774087 4.064774073447283 6.8194885117437956 28.83279742765274 48.05466237942122 54.166223036136365 60.01149890334531 63.29433914367912 63.323821894763746 61.745853782365906 55.93903367744119 44.229254061881136 23.96563105555673 9.999369522728708 11.572347266881026 33.73633440514469 55.530120738485124 63.875021154171606 70.14331040650752 70.64964460991709 71.31236557994933 68.64951768488744 61.51710026308097 50.1322135725165 25.550008461668654 10.768551793707834 10.1318115031622 36.24071037669556 59.23735945963444 70.21864951768491 75.31832797427656 78.58563208664748 79.35987476730413 76.2629040446776 69.294719918768 57.29395836859029 29.421221864951765 11.807200880013538
251 1.5484853613132468 3.0969707226264935 7.161744796073781 35.109324758842455 56.30949085411301 64.64926383482825 70.84320528008125 74.32729734303604 75.20921615808862 73.35949399221526 65.7650841687157 52.454941614486366 27.485615163310193 10.768551793707834 11.69055173441792 39.228295819935674 64.64926383482825 74.90797935352853 81.68260280927399 82.84396683025892 83.00291731436722 79.80266061408487 71.91854233654875 59.22956507023185 28.453418514130984 11.462813713617575 10.521496560976125 40.91693107046272 67.61035753071697 80.66480696748366 86.51008283469262 90.79661847064584 91.74775765781014 87.87907445936573 79.9405567777966 65.57278860097092 33.07483765210265 11.653860608844528
301 0.967803350820783 3.096970722626504 8.183386214092542 40.01286173633441 65.70739549839229 75.48866136402098 82.80807478546028 85.37923207868354 86.13449822304956 84.97313420206463 75.76445369144442 59.810247080724324 30.382699703675694 10.889673027936697 12.553054662379424 44.424096590788096 74.62468857136773 85.16669487222883 93.1026823489592 95.47283916441302 94.69346904878515 91.5326902465166 81.19493047145782 66.97199187679811 31.35682856659333 11.27176681839062 10.521496560976132 46.17767935095079 76.10289389067526 92.1605161729946 98.53147456785857 102.09748514724986 103.55495853782365 99.68374513454052 89.60973456906876 73.6492024462518 36.77652733118971 12.499211903410881
351 1.3549246911490902 3.484092062954812 9.484472838043652 47.4662379421222 74.9079793535285 87.48942291419866 94.41712376268833 98.9095024538839 98.71594178371971 97.49385284660491 87.30843111872052 68.84181325263226 34.006347350398805 12.337931749818479 14.223504610208465 50.26937245799706 83.45627640123573 96.72467057562571 104.80108442090659 107.42617194110676 106.84548993061429 104.60878885316184 92.0846034993945 75.76445369144442 35.5746800327848 12.527746084431074 11.807200880013532 52.64850228465052 85.9255552479717 103.85106790741251 109.69634377462147 114.78147740734471 116.52352343882212 110.9982461268635 100.95517306601094 82.91435252850044 40.501941788115424 13.946423351568045
401 1.3549246911490958 3.4840920629548187 9.936968974255239 52.36977491961414 84.36681501671598 96.9169661433705 106.38402078320306 110.13602132340499 110.32958199356911 108.64699577580232 97.49385284660487 76.65002538500589 37.445191464484076 12.609095084979334 14.418347139115436 56.114648325206026 93.91409893315729 108.58753596209174 115.954227350104 118.65269081062785 119.63331274887673 116.14652291784883 102.97427652733118 83.45627640123571 38.65140911670133 12.99118887543325 12.859606907859712 58.06307361427568 95.12861736334408 114.37256446838867 121.60771704180068 126.20155694702999 128.26114368577012 123.06916335666098 111.33913372422921 91.91728138200617 43.458798310320915 14.037576445369144
452 1.548485361313252 3.0969707226265055 11.690551734417923 59.03990159476899 94.30378399097123 109.50150124571451 117.87844812997122 122.71746488407514 123.72500585592299 121.14620767921315 109.22388247903662 85.36025554239296 41.075082473796314 14.037576445369151 15.782244841464195 62.372990353697745 102.78071585716702 119.82815527778368 128.45343925351497 131.23413437129807 133.76848874598068 128.4534392535149 114.05499645049484 92.30187251749572 42.776908106278555 14.229872013113926 14.223504610208476 63.71350695257768 104.3472668810289 125.47858861608566 132.88260471455035 138.92272311066628 141.68641056016241 135.18378412458236 122.33034354374684 101.81291250634624 48.073891936195714 15.291292942968354
