User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: henry_340_wpc,Date: 13/01/2020,Time: 16:10:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID2: Wizard script `henry_pgm`, Prot.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,,B02,B04,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11
Content,Time [s],Blank B,Blank B,Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33
Raw Data (340 1),0,0.283,0.299,0.286,0.297,0.305,0.32,0.325,0.316,0.321,0.318,0.329,0.324,0.329,0.287,0.292,0.308,0.332,0.319,0.326,0.324,0.334,0.333,0.32,0.322,0.29,0.295,0.31,0.316,0.324,0.326,0.33,0.321,0.339,0.294,0.318
Raw Data (340 1),48,0.278,0.291,0.285,0.3,0.315,0.327,0.329,0.325,0.332,0.337,0.332,0.331,0.336,0.289,0.298,0.318,0.331,0.325,0.331,0.329,0.342,0.335,0.33,0.327,0.291,0.297,0.316,0.321,0.331,0.334,0.341,0.33,0.347,0.303,0.326
Raw Data (340 1),96,0.274,0.285,0.292,0.309,0.32,0.331,0.34,0.339,0.341,0.354,0.347,0.346,0.345,0.293,0.306,0.325,0.345,0.338,0.346,0.342,0.354,0.349,0.34,0.338,0.297,0.306,0.329,0.335,0.344,0.345,0.354,0.343,0.361,0.318,0.336
Raw Data (340 1),144,0.272,0.283,0.293,0.316,0.33,0.344,0.349,0.351,0.356,0.375,0.362,0.355,0.356,0.297,0.311,0.337,0.355,0.352,0.359,0.355,0.367,0.36,0.349,0.348,0.298,0.313,0.336,0.348,0.356,0.359,0.366,0.359,0.37,0.332,0.344
Raw Data (340 1),192,0.266,0.279,0.294,0.321,0.34,0.36,0.359,0.365,0.372,0.392,0.377,0.368,0.369,0.298,0.316,0.343,0.366,0.363,0.37,0.369,0.379,0.375,0.362,0.355,0.298,0.318,0.342,0.358,0.368,0.371,0.381,0.37,0.381,0.341,0.357
Raw Data (340 1),241,0.264,0.276,0.297,0.328,0.349,0.369,0.375,0.381,0.387,0.408,0.389,0.38,0.376,0.299,0.323,0.353,0.377,0.374,0.385,0.383,0.39,0.388,0.375,0.368,0.302,0.324,0.351,0.371,0.382,0.385,0.397,0.386,0.396,0.355,0.366
Raw Data (340 1),289,0.264,0.275,0.301,0.332,0.359,0.385,0.391,0.396,0.403,0.424,0.404,0.395,0.391,0.305,0.337,0.362,0.389,0.39,0.401,0.403,0.409,0.409,0.39,0.381,0.304,0.333,0.361,0.386,0.397,0.405,0.413,0.402,0.417,0.371,0.382
Raw Data (340 1),337,0.262,0.271,0.3,0.336,0.363,0.393,0.404,0.409,0.414,0.444,0.421,0.407,0.4,0.304,0.334,0.366,0.4,0.401,0.415,0.415,0.419,0.421,0.4,0.388,0.306,0.336,0.368,0.396,0.41,0.416,0.429,0.415,0.428,0.384,0.389
Raw Data (340 1),385,0.262,0.275,0.303,0.343,0.374,0.407,0.421,0.43,0.43,0.458,0.438,0.423,0.412,0.307,0.339,0.374,0.412,0.416,0.431,0.434,0.439,0.437,0.417,0.408,0.305,0.34,0.376,0.408,0.425,0.432,0.447,0.43,0.444,0.397,0.403
